time/ka,W/m^2
-1635,444.667796
-1634,442.073112
-1633,441.419837
-1632,442.347926
-1631,444.728455
-1630,448.287873
-1629,453.218838
-1628,458.546276
-1627,464.183411
-1626,469.952546
-1625,475.085704
-1624,478.503037
-1623,479.696373
-1622,478.287125
-1621,474.362373
-1620,469.039835
-1619,463.318907
-1618,457.980041
-1617,454.71108
-1616,453.27863
-1615,453.743312
-1614,456.040224
-1613,459.676952
-1612,464.456871
-1611,470.191364
-1610,476.463097
-1609,482.638829
-1608,489.171375
-1607,494.590405
-1606,498.769581
-1605,500.949503
-1604,500.333873
-1603,496.914389
-1602,490.889784
-1601,483.059564
-1600,474.23584
-1599,466.379962
-1598,459.374551
-1597,454.173769
-1596,450.88285
-1595,449.238305
-1594,449.343203
-1593,450.785918
-1592,453.436914
-1591,457.1443
-1590,461.565246
-1589,466.578036
-1588,470.98932
-1587,474.864048
-1586,476.7667
-1585,476.500357
-1584,473.648177
-1583,468.909652
-1582,462.711178
-1581,456.685018
-1580,451.124207
-1579,447.639392
-1578,445.891483
-1577,446.083024
-1576,448.033842
-1575,451.589601
-1574,456.052972
-1573,461.791344
-1572,467.972978
-1571,474.964518
-1570,481.702035
-1569,488.415775
-1568,494.120594
-1567,498.404103
-1566,500.230146
-1565,499.355948
-1564,495.632602
-1563,489.166867
-1562,481.503076
-1561,473.410619
-1560,465.795724
-1559,459.429376
-1558,454.848496
-1557,452.044006
-1556,450.896987
-1555,451.23785
-1554,452.715425
-1553,455.407932
-1552,458.763648
-1551,462.667555
-1550,467.182926
-1549,471.2956
-1548,475.198244
-1547,478.281886
-1546,479.755563
-1545,479.440349
-1544,477.198193
-1543,473.209347
-1542,468.324536
-1541,462.970203
-1540,458.095308
-1539,454.556367
-1538,452.384236
-1537,451.823265
-1536,452.663691
-1535,454.738132
-1534,457.813548
-1533,461.519215
-1532,465.698066
-1531,469.970788
-1530,474.021249
-1529,477.690536
-1528,480.555208
-1527,482.482653
-1526,483.324688
-1525,483.071196
-1524,481.85573
-1523,479.996825
-1522,477.866333
-1521,475.895519
-1520,474.359523
-1519,473.335982
-1518,472.752265
-1517,472.637818
-1516,472.893991
-1515,473.379313
-1514,473.620014
-1513,473.481279
-1512,472.587121
-1511,470.690241
-1510,467.670498
-1509,463.571652
-1508,458.713712
-1507,453.785839
-1506,449.037675
-1505,445.414274
-1504,442.994359
-1503,442.333051
-1502,443.414029
-1501,446.270549
-1500,450.598672
-1499,456.7129
-1498,463.796095
-1497,471.796757
-1496,480.194728
-1495,488.384939
-1494,495.669704
-1493,500.699646
-1492,502.690258
-1491,501.152249
-1490,495.891864
-1489,487.797388
-1488,478.228849
-1487,468.540568
-1486,460.403592
-1485,453.960094
-1484,449.685526
-1483,447.795106
-1482,447.866259
-1481,449.571973
-1480,452.734597
-1479,457.254829
-1478,462.504454
-1477,469.25514
-1476,476.832023
-1475,484.64673
-1474,492.378412
-1473,498.126086
-1472,500.797238
-1471,498.733358
-1470,491.118297
-1469,479.639459
-1468,465.303512
-1467,450.831294
-1466,438.176217
-1465,429.086616
-1464,423.634028
-1463,421.442832
-1462,422.309998
-1461,425.642666
-1460,430.855789
-1459,437.806476
-1458,445.733463
-1457,455.357949
-1456,465.965172
-1455,476.505479
-1454,488.019263
-1453,497.778306
-1452,505.519379
-1451,509.89301
-1450,509.67558
-1449,504.770163
-1448,496.872008
-1447,486.531304
-1446,475.920721
-1445,466.968461
-1444,459.90329
